type,content
row,默认批次大小,512,items,可配置,灾备节点,cn,v3.5-cn-finance,P007-F129
row,默认批次大小,512,items,可配置,只读副本,cn,v3.5-cn-finance,P007-F129
row,不支持能力,不支持主库直接内联扫描,,negation,主节点,intl,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,灾备节点,intl,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,只读副本,intl,v3.5-cn-finance,P007-F130
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,主节点,cn,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,灾备节点,cn,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,只读副本,cn,v3.5-cn-finance,P007-F131
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,主节点,intl,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,灾备节点,intl,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,只读副本,intl,v3.5-cn-finance,P007-F132
row,可用性目标,99.9,percent,enterprise-SLA,主节点,cn,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,灾备节点,cn,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,只读副本,cn,v3.5-cn-finance,P007-F133
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,主节点,intl,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,灾备节点,intl,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,只读副本,intl,v3.5-cn-finance,P007-F134
row,企业版起价,18590,cny/月,per-org、annual,主节点,cn,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,灾备节点,cn,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,只读副本,cn,v3.5-cn-finance,P007-F135
row,主邻接产品,P008,product,邻接 P008,主节点,intl,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,灾备节点,intl,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,只读副本,intl,v3.5-cn-finance,P007-F136
row,旧版事件吞吐,198400,events/s,v3.4、legacy,主节点,cn,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,灾备节点,cn,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,只读副本,cn,v3.5-cn-finance,P007-F137
row,旧版 P95 延迟,51,ms,v3.4、legacy,主节点,intl,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,灾备节点,intl,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,只读副本,intl,v3.5-cn-finance,P007-F138
row,与 P008 兼容,true,bool,edge P007->P008,主节点,cn,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,灾备节点,cn,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,只读副本,cn,v3.5-cn-finance,P007-F139
row,与 P015 兼容,true,bool,edge P007->P015,主节点,intl,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,灾备节点,intl,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,只读副本,intl,v3.5-cn-finance,P007-F140
table_header,指标,取值,单位,约束,部署单元,区域,版本,fact_id
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,主节点,cn,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,灾备节点,cn,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,只读副本,cn,v3.5-cn-finance,P007-F122
row,API 峰值并发,9000,req/s,enterprise-edition,主节点,intl,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,灾备节点,intl,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,只读副本,intl,v3.5-cn-finance,P007-F123
row,P95 检索延迟,30,ms,p95、warm,主节点,cn,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,灾备节点,cn,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,只读副本,cn,v3.5-cn-finance,P007-F124
row,最大单文档上传,64,MB,默认限制,主节点,intl,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,灾备节点,intl,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,只读副本,intl,v3.5-cn-finance,P007-F125
row,日志/审计留存期,180,days,默认,主节点,cn,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,灾备节点,cn,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,只读副本,cn,v3.5-cn-finance,P007-F126
row,批量接口吞吐,7800,ops/s,batch=512,主节点,intl,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,灾备节点,intl,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,只读副本,intl,v3.5-cn-finance,P007-F127
row,当前版本线,v3.5,version,GA,主节点,cn,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,灾备节点,cn,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,只读副本,cn,v3.5-cn-finance,P007-F128
row,默认批次大小,512,items,可配置,主节点,intl,v3.5-cn-finance,P007-F129
row,默认批次大小,512,items,可配置,灾备节点,intl,v3.5-cn-finance,P007-F129
row,默认批次大小,512,items,可配置,只读副本,intl,v3.5-cn-finance,P007-F129
row,不支持能力,不支持主库直接内联扫描,,negation,主节点,cn,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,灾备节点,cn,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,只读副本,cn,v3.5-cn-finance,P007-F130
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,主节点,intl,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,灾备节点,intl,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,只读副本,intl,v3.5-cn-finance,P007-F131
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,主节点,cn,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,灾备节点,cn,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,只读副本,cn,v3.5-cn-finance,P007-F132
row,可用性目标,99.9,percent,enterprise-SLA,主节点,intl,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,灾备节点,intl,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,只读副本,intl,v3.5-cn-finance,P007-F133
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,主节点,cn,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,灾备节点,cn,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,只读副本,cn,v3.5-cn-finance,P007-F134
row,企业版起价,18590,cny/月,per-org、annual,主节点,intl,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,灾备节点,intl,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,只读副本,intl,v3.5-cn-finance,P007-F135
row,主邻接产品,P008,product,邻接 P008,主节点,cn,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,灾备节点,cn,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,只读副本,cn,v3.5-cn-finance,P007-F136
row,旧版事件吞吐,198400,events/s,v3.4、legacy,主节点,intl,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,灾备节点,intl,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,只读副本,intl,v3.5-cn-finance,P007-F137
row,旧版 P95 延迟,51,ms,v3.4、legacy,主节点,cn,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,灾备节点,cn,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,只读副本,cn,v3.5-cn-finance,P007-F138
row,与 P008 兼容,true,bool,edge P007->P008,主节点,intl,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,灾备节点,intl,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,只读副本,intl,v3.5-cn-finance,P007-F139
row,与 P015 兼容,true,bool,edge P007->P015,主节点,cn,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,灾备节点,cn,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,只读副本,cn,v3.5-cn-finance,P007-F140
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,主节点,intl,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,灾备节点,intl,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,只读副本,intl,v3.5-cn-finance,P007-F121
table_header,指标,取值,单位,约束,部署单元,区域,版本,fact_id
row,API 峰值并发,9000,req/s,enterprise-edition,主节点,cn,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,灾备节点,cn,v3.5-cn-finance,P007-F123
row,API 峰值并发,9000,req/s,enterprise-edition,只读副本,cn,v3.5-cn-finance,P007-F123
row,P95 检索延迟,30,ms,p95、warm,主节点,intl,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,灾备节点,intl,v3.5-cn-finance,P007-F124
row,P95 检索延迟,30,ms,p95、warm,只读副本,intl,v3.5-cn-finance,P007-F124
row,最大单文档上传,64,MB,默认限制,主节点,cn,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,灾备节点,cn,v3.5-cn-finance,P007-F125
row,最大单文档上传,64,MB,默认限制,只读副本,cn,v3.5-cn-finance,P007-F125
row,日志/审计留存期,180,days,默认,主节点,intl,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,灾备节点,intl,v3.5-cn-finance,P007-F126
row,日志/审计留存期,180,days,默认,只读副本,intl,v3.5-cn-finance,P007-F126
row,批量接口吞吐,7800,ops/s,batch=512,主节点,cn,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,灾备节点,cn,v3.5-cn-finance,P007-F127
row,批量接口吞吐,7800,ops/s,batch=512,只读副本,cn,v3.5-cn-finance,P007-F127
row,当前版本线,v3.5,version,GA,主节点,intl,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,灾备节点,intl,v3.5-cn-finance,P007-F128
row,当前版本线,v3.5,version,GA,只读副本,intl,v3.5-cn-finance,P007-F128
row,默认批次大小,512,items,可配置,主节点,cn,v3.5-cn-finance,P007-F129
row,默认批次大小,512,items,可配置,灾备节点,cn,v3.5-cn-finance,P007-F129
row,默认批次大小,512,items,可配置,只读副本,cn,v3.5-cn-finance,P007-F129
row,不支持能力,不支持主库直接内联扫描,,negation,主节点,intl,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,灾备节点,intl,v3.5-cn-finance,P007-F130
row,不支持能力,不支持主库直接内联扫描,,negation,只读副本,intl,v3.5-cn-finance,P007-F130
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,主节点,cn,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,灾备节点,cn,v3.5-cn-finance,P007-F131
row,否定事实,仅企业版支持跨边界脱敏,,negation、must-not-claim,只读副本,cn,v3.5-cn-finance,P007-F131
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,主节点,intl,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,灾备节点,intl,v3.5-cn-finance,P007-F132
row,否定事实,不支持 S3 未挂载桶扫描,,negation、must-not-claim,只读副本,intl,v3.5-cn-finance,P007-F132
row,可用性目标,99.9,percent,enterprise-SLA,主节点,cn,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,灾备节点,cn,v3.5-cn-finance,P007-F133
row,可用性目标,99.9,percent,enterprise-SLA,只读副本,cn,v3.5-cn-finance,P007-F133
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,主节点,intl,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,灾备节点,intl,v3.5-cn-finance,P007-F134
row,合规基座,GB-35273/CAC-审查-P007,,zh-cn,只读副本,intl,v3.5-cn-finance,P007-F134
row,企业版起价,18590,cny/月,per-org、annual,主节点,cn,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,灾备节点,cn,v3.5-cn-finance,P007-F135
row,企业版起价,18590,cny/月,per-org、annual,只读副本,cn,v3.5-cn-finance,P007-F135
row,主邻接产品,P008,product,邻接 P008,主节点,intl,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,灾备节点,intl,v3.5-cn-finance,P007-F136
row,主邻接产品,P008,product,邻接 P008,只读副本,intl,v3.5-cn-finance,P007-F136
row,旧版事件吞吐,198400,events/s,v3.4、legacy,主节点,cn,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,灾备节点,cn,v3.5-cn-finance,P007-F137
row,旧版事件吞吐,198400,events/s,v3.4、legacy,只读副本,cn,v3.5-cn-finance,P007-F137
row,旧版 P95 延迟,51,ms,v3.4、legacy,主节点,intl,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,灾备节点,intl,v3.5-cn-finance,P007-F138
row,旧版 P95 延迟,51,ms,v3.4、legacy,只读副本,intl,v3.5-cn-finance,P007-F138
row,与 P008 兼容,true,bool,edge P007->P008,主节点,cn,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,灾备节点,cn,v3.5-cn-finance,P007-F139
row,与 P008 兼容,true,bool,edge P007->P008,只读副本,cn,v3.5-cn-finance,P007-F139
row,与 P015 兼容,true,bool,edge P007->P015,主节点,intl,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,灾备节点,intl,v3.5-cn-finance,P007-F140
row,与 P015 兼容,true,bool,edge P007->P015,只读副本,intl,v3.5-cn-finance,P007-F140
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,主节点,cn,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,灾备节点,cn,v3.5-cn-finance,P007-F121
row,核心协议,DLP 正则库、敏感数据 OCR、水印追踪,,支持 DLP 正则库、支持 敏感数据 OCR、支持 水印追踪,只读副本,cn,v3.5-cn-finance,P007-F121
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,主节点,intl,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,灾备节点,intl,v3.5-cn-finance,P007-F122
row,事件摄取吞吐,320000,events/s,enterprise-edition、3-node,只读副本,intl,v3.5-cn-finance,P007-F122
table_header,边界项,边界内容
row,边界1,数据防泄漏 不支持 仅企业版支持跨边界脱敏
row,边界2,数据防泄漏 不支持 不支持 S3 未挂载桶扫描
row,整体边界,数据防泄漏 不支持 不支持主库直接内联扫描（详见 P007-F 系事实）
